type,id,order,speaker,text,narration,layout,fx,option_id,label,note
line,memory_moon,4,옥토끼,아무튼 저기 절구 보이세요?,FALSE,above_mortar,,,,
line,memory_moon,5,옥토끼,저건 한 이천년쯤 썼나?,FALSE,near_yokai,,,,
line,memory_moon,6,옥토끼,"매일매일 떡을 찧었어요. 쿵, 쿵, 쿵.",FALSE,near_yokai,,,,
line,memory_moon,7,옥토끼,누가 먹냐고요?  그건 저도 몰라요. 저는 그냥 찧기만 했거든요.,FALSE,near_yokai,,,,
line,memory_moon,8,옥토끼,"찧고, 산책하고, 여기 딱 이 자리에 앉아서, 저기를 봤어요.",FALSE,near_yokai,,,,
line,memory_moon,9,옥토끼,예쁘죠? 반짝반짝.,FALSE,near_yokai,,,,
line,memory_moon,10,옥토끼,저기는 엄청 시끄러울 것 같지 않아요?,FALSE,near_yokai,,,,
line,memory_moon,11,옥토끼,저는 그 시끄러운 게 늘 궁금했어요.,FALSE,near_yokai,,,,
line,memory_moon,12,옥토끼,한 번도 못 가봤으니까요.,FALSE,near_yokai,,,,
line,memory_moon,13,옥토끼,"어! 저거 봐요, 별똥별! 아, 저게 그날이에요.",FALSE,near_yokai,,,,
line,memory_moon,14,옥토끼,완전히 부서져서 떡을 못 찧겠더라고요?,FALSE,near_yokai,,,,
line,memory_moon,15,옥토끼,"어떻게 할지 몰라서 한참 서있다가, 갑자기 좋은 생각이 난 거예요.",FALSE,near_yokai,,,,
line,memory_moon,16,옥토끼,지구에 가서 절구를 받아오자!,FALSE,near_yokai,,,,
line,memory_earth,1,,— 지구 —,TRUE,top_narration,,,,
line,memory_earth,2,옥토끼,지구에 오자마자 와! 와! 와!!!,FALSE,near_yokai,,,,
line,memory_earth,3,옥토끼,"사람도 많고, 먹을 것도 많고, 막 여기저기 빛나더라고요.",FALSE,near_yokai,,,,
line,memory_earth,4,옥토끼,저는 아직도 여기 사람들이 떡만 먹고 사는 줄 알았어요. 저는 계에에에에속 떡만 찧고 있었으니까요.,FALSE,near_yokai,,,,
line,memory_earth,5,옥토끼,아무튼 저도 직업정신이 있으니까 절구를 찾아다녔단 말이죠?,FALSE,near_yokai,,,,
line,memory_earth,6,옥토끼,그런데 일단 너무 배가 고픈 거예요.,FALSE,near_yokai,,,,
line,memory_earth,7,옥토끼,"붕어빵도, 오뎅도, 떡꼬치도 맛있어보였는데 돈이 없으면 못 산다고 하더라고요....",FALSE,near_yokai,,,,
line,memory_earth,8,옥토끼,"절구는 어디서 파는지도 모르겠고, 돈도 없고.",FALSE,near_yokai,,,,
line,memory_earth,9,옥토끼,"너무너무너무 춥고..., 너무너무너무 배고프고..., 숨쉬기가 막 어려워지더니,",FALSE,near_yokai,,,,
line,memory_earth,10,옥토끼,쓰러져버렸어요.,FALSE,near_yokai,,,,
line,memory_earth,11,,화면이 암전된다.,TRUE,top_narration,,,,
line,memory_earth,12,옥토끼,그걸 구해주신 분이 바로 멋진 이무기 님이셨어요!,FALSE,near_yokai,,,,
line,memory_earth,13,옥토끼,지구에서는 제 힘이 너무 약해져서 쓰러진 거였대요. 그래도 여기 고가구점은 괜찮더라고요?,FALSE,near_yokai,,,,
line,memory_shop,1,옥토끼,"그래서 그때부터, 여기서 지냈어요.",FALSE,near_yokai,,,,
line,memory_shop,2,옥토끼,"아침에 가게 문도 열고, 먼지 안 쌓이게 먼지도 털고, 바닥도 청소하고요, 손님도 받고요.",FALSE,near_yokai,,,,
line,memory_shop,3,옥토끼,"이무기님이 하루에 천 원씩 주시는데, 그걸로 간식 사 먹어요.",FALSE,near_yokai,,,,
line,memory_shop,4,옥토끼,"붕어빵도, 오뎅도, 떡꼬치도 먹을 수 있어요.",FALSE,near_yokai,,,,
line,memory_shop,5,옥토끼,"이제 절구값도 다 모아서, 인터넷으로 주문하려고요.",FALSE,near_yokai,,,,
line,memory_shop,6,옥토끼,"그래도 옥토끼의 자존심이 있지, 이무기님에 대한 은혜를 갚아야 달로 가지 않겠어요?",FALSE,near_yokai,,,,
line,memory_shop,7,옥토끼,"이무기님은 아주 오래 전에 999년 묵었는데요, 이제 마지막 공덕을 쌓아야 용으로 승천하실 수 있어요.",FALSE,near_yokai,,,,
line,memory_shop,8,옥토끼,근데 23마리 요괴들이 너무 까다롭게 굴어서요. 한이 많이 쌓였나봐요.,FALSE,near_yokai,,,,
line,memory_shop,9,옥토끼,결국 이무기 님도 지치셔서 기억을 없앤 후에 저렇게 봉인해두고 계셨죠.,FALSE,near_yokai,,,,
line,memory_shop,10,옥토끼,근데 딱 날이 좋은 오늘! 손님이 들어오신 거죠.,FALSE,near_yokai,,,,
line,memory_shop,11,옥토끼,"그러더니, 글쎄, 저 선반 앞에 딱 멈춰 서시는 거예요.",FALSE,near_yokai,,,,
line,memory_shop,12,옥토끼,저거 보통 인간 눈에는 안 보이는 거거든요.,FALSE,near_yokai,,,,
line,memory_shop,13,옥토끼,"근데 손님이, ‘와...... 예쁘다’ 하잖아요.",FALSE,near_yokai,,,,
line,memory_shop,14,옥토끼,"어? 저게 보여? 저 근사한 손님한테, 저게 보인다고? 그때 딱 느낌이 왔어요.",FALSE,near_yokai,,,,
line,memory_shop,15,옥토끼,아—! 이 사람이다. 이 사람이면 되겠다. 히히.,FALSE,near_yokai,,,,
line,memory_shop,16,옥토끼,"그래서 제가 발을 걸었어요. 정말 죄송해요..., 화나셨죠?",FALSE,near_yokai,,,,
line,memory_shop,17,옥토끼,"근데 있잖아요, 저는요......",FALSE,near_yokai,,,,
line,memory_shop,18,옥토끼,손님이 우리를 자유롭게 해주실 거라고 믿어요.,FALSE,near_yokai,,,,
line,before_blackening_choices,1,옥토끼,그럼 이제 저는 달로 돌아갈게요. 달을 오래 비우면 점점 힘이 약해지거든요. 얘기 들어주셔서 감사해요!,FALSE,near_yokai,,,,
line,blackening,1,옥토끼,...그렇게 말해주시니 정말 감사해요.,FALSE,near_yokai,,,,
line,blackening,2,옥토끼,그런데 그렇게는.,FALSE,near_yokai,,,,
line,blackening,3,옥토끼,"달을 오래 비우면 저도 점점 힘이 약해지고...,",FALSE,near_yokai,,,,
line,blackening,4,옥토끼,"안, 안 될텐데.",FALSE,near_yokai,,,,
line,blackening,5,옥토끼,너무 무서워요. 그곳은 외로워요.,FALSE,near_yokai,,,,
line,blackening,6,옥토끼,"또 영겁의 시간을 혼자, 어떻게 버텨내죠?",FALSE,near_yokai,,,,
line,blackening,7,옥토끼,제가 뭘 잘못했죠?,FALSE,near_yokai,,,,
line,blackening,8,옥토끼,"아니, 아니에요. 그건 제 업이에요. 안 되는데....",FALSE,near_yokai,,,,
line,blackening,9,옥토끼,으으....,FALSE,near_yokai,,,,
line,blackening,10,,옥토끼의 몸이 얼룩덜룩 검게 물든다.,TRUE,near_yokai,blacken,,,
line,blackening,11,옥토끼,"죄, 죄송해요. 다시 생각해보니 돌아갈 수 없을 것 같아요...!",FALSE,near_yokai,,,,
line,blackening,12,,토끼는 흑토끼가 되어 족자 밖으로 달아난다.,TRUE,top_narration,,,,
line,blackening,13,옥토끼,저를 찾지 마세요오오!,FALSE,near_yokai,,,,
line,imugi_restore,1,이무기,결국 이렇게 됐군.,FALSE,bottom_wide,,,,
line,imugi_restore,2,,이무기는 한숨을 내쉬었다.,TRUE,top_narration,,,,
line,imugi_restore,3,,곰방대 연기로 흑토끼를 붙잡아 온다.,TRUE,top_narration,,,,
line,imugi_restore,4,,흑토끼에게서 검은 기운—탁기—를 삼키자 옥토끼는 다시 하얗게 돌아왔다.,TRUE,top_narration,restore_white,,,
line,imugi_restore,5,,이무기의 한쪽 눈 흰자가 검게 물들었다.,TRUE,top_narration,,,,
line,imugi_restore,6,이무기,......됐다. 정신이 드느냐.,FALSE,bottom_wide,,,,
line,imugi_restore,7,옥토끼,"으...... 저 방금 엄청 이상했어요. 죄송해요, 손님. 무서우셨죠.",FALSE,near_yokai,,,,
line,wish_prompt,1,이무기,손님이 사고를 친 게 아니었군.,FALSE,bottom_wide,,,,
line,wish_prompt,2,이무기,괜한 계약에 얽매이게 해서 미안하다.,FALSE,bottom_wide,,,,
line,wish_prompt,3,이무기,"권속을 제대로 단속하지 못한 내 잘못이니, 소원을 하나 들어주마.",FALSE,bottom_wide,,,,
line,wish_prompt,4,이무기,인과가 생겼으니 나도 힘을 쓸 수 있게 되었다.,FALSE,bottom_wide,,,,
line,wish_prompt,5,이무기,무엇이든 말해 봐라.,FALSE,bottom_wide,,,,
line,doppelganger,1,이무기,...옥토끼가 사람은 잘 보았나보군. 그래도 달에는 토끼가 필요해. 그러니 이렇게 하지.,FALSE,bottom_wide,,,,
line,doppelganger,2,,이무기가 손을 젓자 옥토끼가 두 마리로 갈라진다.,TRUE,near_yokai,,,,
line,doppelganger,3,옥토끼A,어...... 어어?! 저거 저예요?!,FALSE,near_yokai,,,,
line,doppelganger,4,옥토끼B,네가 나야? 내가 너고?,FALSE,near_yokai,,,,
line,doppelganger,5,옥토끼A&B,이제 한 명이 떡 찧고 한 명이 놀면 되겠다! 감사해요 이무기님!,FALSE,near_yokai,,,,
line,doppelganger,6,이무기,고마우면 한 마리는 여기서 계속 일해라.,FALSE,bottom_wide,,,,
line,doppelganger,7,옥토끼A&B,예!,FALSE,near_yokai,,,,
line,hidden_confirm,1,이무기,......무를 수 없다. 정말이냐?,FALSE,bottom_wide,,,,
line,hidden_ending,1,이무기,그래. 너는 평범한 삶으로 돌아간다. 아무 일도 없었던 것처럼.,FALSE,bottom_wide,,,,
line,hidden_ending,2,,짧은 암전 후 타이틀로 돌아간다. (히든 엔딩 0),TRUE,top_narration,,,,
line,card_and_incense,1,,옥토끼 양면 패가 완성되었다.,TRUE,top_narration,,,,
line,card_and_incense,2,옥토끼,저를 구해주셔서 감사해요...! 제 두 번째 은인으로 삼겠습니다!,FALSE,near_yokai,,,,
line,card_and_incense,3,,옥토끼가 멀리 뛰어갔다 온다.,TRUE,top_narration,,,,
line,card_and_incense,4,옥토끼,헥헥. 이걸 드릴게요. 3개를 모으면 요괴들을 소환할 수 있는 특별한 향이에요.,FALSE,near_yokai,,,,
line,card_and_incense,5,옥토끼,이무기 님 창고에서 쌔벼왔어요.,FALSE,near_yokai,,,,
line,card_and_incense,6,옥토끼,그럼! 첫 요괴를 소환해보실까요!,FALSE,near_yokai,,,,
line,petting,3,옥토끼,이제 수련을 하러 갈 힘이 생겼어요. 저기 수련장을 눌러주세요!,FALSE,near_yokai,,,,수련장 강조
line,black_rabbit_flee,1,,흑토끼가 족자를 찢고 밖으로 사라진다. 빈 족자만 남았다.,TRUE,top_narration,,,,
choice,blackening,1,,,,,,alone,다시 혼자가 될텐데 괜찮겠어?,
choice,blackening,2,,,,,,stay,그냥 여기에 계속 있으면 안 돼?,
choice,blackening,3,,,,,,dont_go,달로 돌아가지마.,
choice,wish,1,,,,,,save_okto,옥토끼를 구해주세요.,
choice,wish,2,,,,,,cancel_contract,계약을 없던 일로 해 주세요.,
choice,hidden_confirm,1,,,,,,confirm_cancel,"네, 없던 일로 해 주세요.",
choice,hidden_confirm,2,,,,,,reconsider,역시 다시 생각할게요.,
